ItemID,Categoria,Subcategoria,Nome,Sinonimos,UsoPratico,Modalidade,Variaveis,FormulaTexto,FormulaLaTeX,CutoffsInterpretacao,TecnicaMedida,Limitacoes,NivelAdocao,FontePrimaria,LinkRadiopaedia,OutrasFontes,Status
PEL-0011,I - Pelve,I5 - Ovário Avançado,Ovarian Torsion Criteria,Ovarian torsion; torsão ovariana; critério torsão,Diagnosticar torção ovariana. Ovário aumentado com fluxo reduzido sugere torsão.,US-Doppler,"Volume ovário (mL), fluxo Doppler (presente/ausente), edema periférico",Classificação baseada em achados,\text{Torsão} = f(\text{volume; fluxo; edema}),Volume >10 mL + ausência fluxo Doppler + edema periférico = torsão provável. Sensibilidade ~90%.,US transvaginal Doppler pulsado. Avaliar volume ovário fluxo periférico edema.,Operador-dependente; pode haver fluxo residual; variação inter-observador.,R,Pena JA et al. Sonography ovarian torsion. AJR. 1992;159(3):539-541.,https://radiopaedia.org/articles/ovarian-torsion,Urgência cirúrgica se confirmado.,OK
PEL-0012,I - Pelve,I5 - Ovário Avançado,Ovarian Reserve Anti-Müllerian Hormone,AMH; anti-müllerian hormone; reserve ovariana,Avaliar reserva ovariana. AMH baixo prediz resposta pobre a estimulação.,Laboratorial (com US),"AMH (ng/mL), contagem folículos antrais (AFC)",Medição direta AMH sérico,AMH = \text{nível sérico},"<1.0 ng/mL: reserva baixa; 1.0-3.0: normal; >3.0: reserva normal-alta. AFC <5: reserva baixa.",Dosagem AMH laboratorial. US contagem folículos antrais <9 mm ambos ovários.,Afetado por ciclo menstrual; variação inter-laboratorial; não prediz fertilidade isoladamente.,S,Broer SL et al. Anti-Müllerian hormone predicts ovarian response. Fertil Steril. 2009;92(6):1868-1874.,https://radiopaedia.org/articles/ovarian-reserve,Complemento US para avaliar reserva.,OK
PEL-0013,I - Pelve,I6 - Próstata Avançada,Extraprostatic Extension,EPE; extraprostatica extension; extensão extraprostática,Predizer recorrência câncer próstata. EPE presente indica estadio T3.,RM,"Extensão tumor além cápsula prostática (qualitativa), volume tumor (mL)",Classificação baseada em achados,\text{EPE} = f(\text{extensão tumor}),EPE presente: estadio T3a. Importante para decisão terapêutica (cirurgia vs radioterapia).,RM T2/DWI multiparamétrica. Avaliar extensão tumor além cápsula prostática.,Requer RM alta qualidade; operador-dependente; variação inter-observador.,R,Turkbey B et al. Prostate Imaging Reporting Data System v2.1. Eur Urol. 2019;76(3):340-351.,https://radiopaedia.org/articles/prostate-cancer,Fator prognóstico independente.,OK
PEL-0014,I - Pelve,I6 - Próstata Avançada,Seminal Vesicle Invasion,SVI; seminal vesicle invasion; invasão vesícula seminal,Predizer recorrência câncer próstata. SVI presente indica estadio T4.,RM,"Invasão vesícula seminal (qualitativa), volume tumor (mL)",Classificação baseada em achados,\text{SVI} = f(\text{invasão vesícula}),SVI presente: estadio T4. Indica prognóstico pior e necessidade radioterapia adjuvante.,RM T2/DWI multiparamétrica. Avaliar invasão vesículas seminais.,Requer RM alta qualidade; operador-dependente; variação inter-observador.,R,Turkbey B et al. Prostate Imaging Reporting Data System v2.1. Eur Urol. 2019;76(3):340-351.,https://radiopaedia.org/articles/prostate-cancer,Fator prognóstico independente.,OK
PEL-0015,I - Pelve,I6 - Próstata Avançada,Gleason Score Imaging,Gleason score RM; tumor grade; grau tumoral,Estimar grau histológico por RM. Importante para prognóstico.,RM,"Padrão DWI/ADC, realce DCE, sinal T2",Classificação baseada em achados,\text{Gleason} = f(\text{DWI; DCE; T2}),Gleason ≤6: baixo risco; 7: intermediário; ≥8: alto risco. Prediz prognóstico e recorrência.,RM T2/DWI/DCE multiparamétrica. Avaliar padrão DWI realce DCE sinal T2.,Estimativa não-invasiva; correlação imperfecta com histologia; operador-dependente.,S,Turkbey B et al. Prostate Imaging Reporting Data System v2.1. Eur Urol. 2019;76(3):340-351.,https://radiopaedia.org/articles/prostate-cancer,Complemento PI-RADS para prognóstico.,OK
ABD-0025,C - Abdome,C5 - Vesícula/Vias Biliares,Hepatic Artery Resistive Index,Hepatic artery RI; HA RI; resistência arterial hepática,Avaliar circulação hepática. RI aumentado sugere doença hepática avançada.,US-Doppler,PSV artéria hepática (m/s); EDV artéria hepática (m/s),RI = (PSV - EDV) / PSV,RI = \frac{PSV - EDV}{PSV},<0.55: normal; 0.55-0.70: borderline; >0.70: aumentado (cirrose/fibrose).,Doppler pulsado artéria hepática proximal ângulo <60° ROI centro vaso.,Operador-dependente; afetado por ângulo; variação inter-observador; afetado por pressão portal.,S,Bolondi L et al. Sonographic assessment hepatic hemodynamics. Semin Ultrasound CT MR. 1992;13(1):40-56.,https://radiopaedia.org/articles/hepatic-artery-resistive-index,Complementa avaliação cirrose.,OK
ABD-0026,C - Abdome,C1 - Fígado,Hepatic Vein Doppler Waveform,Hepatic vein flow; HV waveform; padrão fluxo hepático,Avaliar congestão hepática/síndrome de Budd-Chiari. Padrão monofásico sugere congestão.,US-Doppler,"Padrão Doppler veia hepática (trifásico/bifásico/monofásico), pico velocidade (cm/s)",Classificação baseada em padrão,\text{Padrão} = \begin{cases} \text{Trifásico} & \text{normal} \\ \text{Bifásico} & \text{borderline} \\ \text{Monofásico} & \text{congestão} \end{cases},Trifásico: normal; Bifásico: borderline (cirrose leve); Monofásico: congestão (cirrose avançada/Budd-Chiari).,Doppler pulsado veia hepática proximal. Avaliar padrão fluxo (trifásico vs bifásico vs monofásico).,Operador-dependente; afetado por ângulo; variação inter-observador.,S,Bolondi L et al. Sonographic assessment hepatic hemodynamics. Semin Ultrasound CT MR. 1992;13(1):40-56.,https://radiopaedia.org/articles/hepatic-vein,Complementa avaliação cirrose.,OK
ABD-0027,C - Abdome,C2 - Rins,Renal Artery Peak Systolic Velocity,PSV renal; peak systolic velocity; velocidade sistólica pico,Diagnosticar estenose renal. PSV >180 cm/s sugere estenose ≥60%.,US-Doppler,PSV artéria renal proximal (m/s),Medição simples PSV,PSV = \text{velocidade sistólica máxima},"<180 cm/s: sem estenose; 180-200: borderline; >200: provável estenose ≥60%.",Doppler pulsado artéria renal proximal ângulo <60° ROI centro vaso.,Operador-dependente; afetado por ângulo; pode falhar em rins profundos; débito cardíaco baixo.,R,Olin JW et al. United States Registry Fibromuscular Dysplasia. Circ Cardiovasc Interv. 2012;5(3):432-438.,https://radiopaedia.org/articles/renal-artery-stenosis,Complementa RAR para diagnóstico RAS.,OK
ABD-0028,C - Abdome,C2 - Rins,Renal Artery End-Diastolic Velocity,EDV renal; end-diastolic velocity; velocidade diastólica final,Diagnosticar estenose renal grave. EDV >100 cm/s sugere estenose >80%.,US-Doppler,EDV artéria renal proximal (m/s),Medição simples EDV,EDV = \text{velocidade diastólica final},"<100 cm/s: estenose <80%; 100-150: borderline; >150: estenose >80% provável.",Doppler pulsado artéria renal proximal ângulo <60° ROI centro vaso.,Operador-dependente; afetado por ângulo; variação inter-observador.,S,Olin JW et al. United States Registry Fibromuscular Dysplasia. Circ Cardiovasc Interv. 2012;5(3):432-438.,https://radiopaedia.org/articles/renal-artery-stenosis,Complementa PSV para gravidade estenose.,OK
ABD-0029,C - Abdome,C2 - Rins,Resistive Index Renal Transplant,Transplant RI; renal transplant resistance; RI transplante,Monitorar função transplante renal. RI elevado sugere rejeição/estenose.,US-Doppler,"PSV artéria renal transplante (m/s), EDV artéria renal transplante (m/s)",RI = (PSV - EDV) / PSV,RI = \frac{PSV - EDV}{PSV},<0.80: normal; 0.80-0.90: borderline; >0.90: rejeição/estenose provável.,Doppler pulsado artéria renal transplante ângulo <60° ROI centro vaso.,Operador-dependente; afetado por ângulo; pode estar elevado em outras condições.,R,Radermecker RP et al. Renal resistive index assessment renal function. Nephrol Dial Transplant. 2002;17(8):1409-1417.,https://radiopaedia.org/articles/renal-arterial-resistive-index,Monitoramento pós-transplante.,OK
ABD-0030,C - Abdome,C3 - Adrenais,Adrenal Gland Size,Adrenal diameter; adrenal size; tamanho adrenal,Avaliar hiperplasia/adenoma adrenal. Diâmetro >1.5 cm sugere patologia.,US; TC; RM,"Diâmetro máximo adrenal (mm), localização (direita/esquerda)",Medição simples diâmetro máximo,d_{adrenal} = \text{diâmetro máximo},"<1.0 cm: normal; 1.0-1.5 cm: borderline; >1.5 cm: aumentado (hiperplasia/adenoma).",Medir maior diâmetro adrenal TC axial. Evitar vasos adjacentes.,Pode variar com idade; afetado por posicionamento; operador-dependente.,S,Boland GW et al. Characterization adrenal masses. Radiology. 1998;209(1):131-138.,https://radiopaedia.org/articles/adrenal-gland,Correlação com função hormonal.,OK
ABD-0031,C - Abdome,C3 - Adrenais,Adrenal Lipid Content Index,Lipid index; lipid content; índice lipídico,Detectar gordura em adenomas adrenais por TC. Lipid index >-20 HU sugere adenoma.,TC,"Atenuação adrenal (HU) fase NC, atenuação gordura subcutânea (HU)",Lipid Index = atenuação adrenal - atenuação gordura subcutânea,LI = HU_{adrenal} - HU_{gordura},"<-20 HU: adenoma lipídico provável; -20 a 10: borderline; >10: não-adenoma.",ROI ≥1 cm adrenal NC evitando vasos. Comparar com gordura subcutânea.,Afetado por insuficiência renal; pode falhar em adenomas sem gordura.,S,Caoili EM et al. Adrenal masses characterization. Radiology. 2002;222(3):629-633.,https://radiopaedia.org/articles/adrenal-adenoma,Complementa washout para caracterização.,OK
ABD-0032,C - Abdome,C4 - Baço,Splenic Artery Resistive Index,Splenic artery RI; RA RI; resistência arterial esplênica,Avaliar circulação esplênica. RI aumentado sugere hipertensão portal.,US-Doppler,PSV artéria esplênica (m/s); EDV artéria esplênica (m/s),RI = (PSV - EDV) / PSV,RI = \frac{PSV - EDV}{PSV},<0.60: normal; 0.60-0.75: borderline; >0.75: aumentado (hipertensão portal).,Doppler pulsado artéria esplênica proximal ângulo <60° ROI centro vaso.,Operador-dependente; afetado por ângulo; variação inter-observador.,S,Bolondi L et al. Sonographic assessment hepatic hemodynamics. Semin Ultrasound CT MR. 1992;13(1):40-56.,https://radiopaedia.org/articles/splenic-artery,Complementa avaliação hipertensão portal.,OK
ABD-0033,C - Abdome,C4 - Baço,Spleen Doppler Flow Direction,Portal flow direction; flow direction; direção fluxo,Avaliar fluxo portal reverso em hipertensão portal. Fluxo hepatofugal sugere PH grave.,US-Doppler,"Direção fluxo veia porta (hepatopetal/hepatofugal), velocidade (cm/s)",Classificação qualitativa,\text{Fluxo} = \begin{cases} \text{Hepatopetal} & \text{normal} \\ \text{Hepatofugal} & \text{PH grave} \end{cases},Hepatopetal: normal (fluxo para fígado); Hepatofugal: PH grave (fluxo reverso).,Doppler pulsado veia porta proximal. Avaliar direção fluxo (hepatopetal vs hepatofugal).,Qualitativa; operador-dependente; variação inter-observador.,R,Bolondi L et al. Sonographic assessment hepatic hemodynamics. Semin Ultrasound CT MR. 1992;13(1):40-56.,https://radiopaedia.org/articles/portal-hypertension,Indicador PH avançada.,OK
ABD-0034,C - Abdome,C5 - Vesícula/Vias Biliares,Bile Duct Stone Diameter,Stone size; tamanho cálculo; diâmetro cálculo,Avaliar risco colangite. Cálculos >15 mm maior risco obstrução.,US; TC,Diâmetro máximo cálculo biliar (mm),Medição simples diâmetro,d_{stone} = \text{diâmetro máximo},"<5 mm: pequeno; 5-15 mm: médio; >15 mm: grande (maior risco obstrução/colangite).",US eixo transversal/sagital. TC com contraste. Medir maior diâmetro cálculo.,Pode haver múltiplos cálculos; afetado por posicionamento; operador-dependente.,S,Aerts M et al. Bile duct stones. Eur J Radiol. 2011;80(2):441-450.,https://radiopaedia.org/articles/choledocholithiasis,Correlação com sintomas colangite.,OK
ABD-0035,C - Abdome,C5 - Vesícula/Vias Biliares,Hepatic Steatosis Grading,Steatosis grade; hepatic fat; grau esteatose,Quantificar esteatose hepática por TC. Importante para prognóstico NAFLD.,TC,"Atenuação fígado (HU), atenuação baço (HU), atenuação sangue (HU)",Grau = f(razão fígado/baço),\text{Grau} = f(\text{L/S ratio}),Grau 0: <5% (L/S >1.1); Grau 1: 5-33% (L/S 1.0-1.1); Grau 2: 33-66% (L/S 0.9-1.0); Grau 3: >66% (L/S <0.9).,TC fase portal ROI ≥1 cm fígado e baço mesmo nível. Calcular razão atenuação.,Afetado por cirrose fibrose; pode falhar esteatose leve; equipamento-dependente.,R,Piekarski J et al. Difference liver spleen CT numbers. Radiology. 1989;171(1):149-151.,https://radiopaedia.org/articles/diffuse-hepatic-steatosis,Correlação com função hepática.,OK
PEL-0016,I - Pelve,I1 - Próstata,Prostate Cancer Gleason Grading,Gleason grading; tumor grade; grau tumoral,Estimar grau histológico por RM. Importante para prognóstico.,RM,"Padrão DWI/ADC, realce DCE, sinal T2",Classificação baseada em achados,\text{Gleason} = f(\text{DWI; DCE; T2}),Gleason ≤6: baixo risco; 7: intermediário; ≥8: alto risco. Prediz prognóstico e recorrência.,RM T2/DWI/DCE multiparamétrica. Avaliar padrão DWI realce DCE sinal T2.,Estimativa não-invasiva; correlação imperfecta com histologia; operador-dependente.,S,Turkbey B et al. Prostate Imaging Reporting Data System v2.1. Eur Urol. 2019;76(3):340-351.,https://radiopaedia.org/articles/prostate-cancer,Complemento PI-RADS para prognóstico.,OK
PEL-0017,I - Pelve,I2 - Útero,Uterine Artery Doppler,Uterine artery PI; uterine artery RI; resistência arterial uterina,Avaliar perfusão uterina. PI/RI elevados sugerem disfunção endometrial.,US-Doppler,"PSV artéria uterina (m/s), EDV artéria uterina (m/s)",PI = (PSV - EDV) / velocidade média; RI = (PSV - EDV) / PSV,PI = \frac{PSV - EDV}{V_{mean}}; RI = \frac{PSV - EDV}{PSV},PI <3.0: normal; 3.0-3.5: borderline; >3.5: aumentado (disfunção endometrial).,Doppler pulsado artéria uterina ângulo <60° ROI centro vaso. Medir proximal e distal.,Operador-dependente; afetado por ângulo; variação inter-observador; ciclo-dependente.,S,Steer CV et al. Uterine artery Doppler prediction pregnancy. Lancet. 1992;339(8788):213-216.,https://radiopaedia.org/articles/uterine-artery-doppler,Correlação com fertilidade.,OK
PEL-0018,I - Pelve,I3 - Bexiga,Bladder Outlet Obstruction Index,BOO index; obstruction index; índice obstrução,Avaliar obstrução saída vesical. BOO >40 sugere obstrução significativa.,Urodinâmica (com US),"Pressão detrusor máxima (cmH2O), fluxo máximo (mL/s)",BOO = Pdet_max - 2 × Qmax,BOO = P_{det,max} - 2 \times Q_{max},"<20: sem obstrução; 20-40: borderline; >40: obstrução significativa.",Estudo urodinâmico pressão-fluxo. US pós-miccção resíduo.,Requer estudo urodinâmico invasivo; variação inter-observador.,S,Abrams P et al. Urodynamics classification obstruction. Neurourol Urodyn. 1998;17(5):443-447.,https://radiopaedia.org/articles/bladder-outlet-obstruction,Correlação com sintomas LUTS.,OK
PEL-0019,I - Pelve,I4 - Reto/Cólon,Rectal Cancer Depth of Invasion,Tumor depth; T stage; profundidade invasão,Estratificar prognóstico câncer retal. T3 vs T4 importante para decisão terapêutica.,TC; RM,"Profundidade invasão tumor (mm), localização (submucosa/muscular/gordura/estruturas)",Classificação baseada em profundidade,\text{T stage} = f(\text{profundidade}),T1: submucosa; T2: muscular própria; T3: gordura perirretal; T4: estruturas adjacentes.,TC com contraste ou RM T2/DWI. Avaliar profundidade invasão tumor.,Baseado em achados radiológicos; pode subestimar/superestimar; afetado por técnica.,R,Beets-Tan RG et al. Magnetic resonance imaging rectal cancer. Eur Radiol. 2000;10(12):1886-1895.,https://radiopaedia.org/articles/rectal-cancer,Fator prognóstico independente.,OK
PEL-0020,I - Pelve,I4 - Reto/Cólon,Rectal Cancer Lymph Node Staging,Lymph node staging; N stage; estadiamento linfonodos,Estratificar prognóstico câncer retal. N+ indica necessidade quimioterapia adjuvante.,TC; RM,"Número linfonodos, tamanho máximo (mm), localização",Classificação baseada em número/tamanho,\text{N stage} = f(\text{número; tamanho}),N0: sem; N1: 1-3 linfonodos; N2: ≥4 linfonodos. Tamanho >5 mm suspeito.,TC com contraste ou RM T2/DWI. Contar linfonodos medir maior diâmetro.,Baseado em achados radiológicos; pode subestimar/superestimar; afetado por técnica.,R,Beets-Tan RG et al. Magnetic resonance imaging rectal cancer. Eur Radiol. 2000;10(12):1886-1895.,https://radiopaedia.org/articles/rectal-cancer,Fator prognóstico independente.,OK
